@type,@rid,@version,repository,name,format,size,created_by,last_downloaded,last_updated,blob_created,blob_updated,@fieldTypes
d,#-2:251,0,maven-central,com/jolbox/bonecp/0.8.0.RELEASE/bonecp-0.8.0.RELEASE.jar,maven2,110600,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:252,0,maven-central,com/tdunning/t-digest/3.2/t-digest-3.2.jar,maven2,51208,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:253,0,maven-central,com/fasterxml/jackson/core/jackson-annotations/2.0.4/jackson-annotations-2.0.4.jar,maven2,33528,admin,2022-06-22 19:41:16,2022-06-22 19:41:16,2021-09-21 10:07:23,2021-09-21 10:07:23,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:254,0,maven-central,net/sf/jopt-simple/jopt-simple/5.0.2/jopt-simple-5.0.2.jar,maven2,78074,admin,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,2021-10-13 12:13:05,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:255,0,maven-central,org/springframework/spring-web/5.0.8.RELEASE/spring-web-5.0.8.RELEASE.jar,maven2,1263363,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:25,2021-09-29 20:24:25,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:256,0,maven-central,io/netty/netty-codec-http/4.1.16.Final/netty-codec-http-4.1.16.Final.jar,maven2,549398,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:25,2021-09-29 20:24:25,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:257,0,maven-central,joda-time/joda-time/2.10.3/joda-time-2.10.3.jar,maven2,643032,admin,2021-10-13 12:13:06,2021-10-13 12:13:06,2021-10-13 12:13:06,2021-10-13 12:13:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:258,0,maven-central,io/netty/netty-transport-native-kqueue/4.1.16.Final/netty-transport-native-kqueue-4.1.16.Final-osx-x86_64.jar,maven2,108810,admin,2021-10-19 13:51:14,2021-10-19 13:51:14,2021-09-29 20:24:24,2021-09-29 20:24:24,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:259,0,maven-central,io/undertow/undertow-servlet/2.0.28.Final/undertow-servlet-2.0.28.Final.jar,maven2,537287,admin,2022-07-05 07:52:41,2022-07-05 07:52:41,2021-09-07 12:03:06,2021-09-07 12:03:06,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
d,#-2:260,0,maven-central,org/springframework/boot/spring-boot-maven-plugin/2.3.6.RELEASE/spring-boot-maven-plugin-2.3.6.RELEASE.jar,maven2,93755,admin,2021-10-13 12:13:52,2021-10-13 12:13:52,2021-10-13 12:13:52,2021-10-13 12:13:52,"size=l,last_downloaded=t,last_updated=t,blob_created=t,blob_updated=t"
